,id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta,genero,minutos,horas,dia,mes
2396969,23816756,286,2024-11-11 00:20:27,262,349 - Plaza Saenz Peña,Andrés Lamas 1699,-58.46729693359809,-34.6097088334705,2024-11-11 00:25:13,381,274 - Gavilán,Gavilán 1200,-58.4658836,-34.6162466,1199593.0,FIT,FEMALE,20,11,0,11
2856966,23816757,548,2024-11-11 00:23:31,65,065 - Julián Álvarez,3822 Guemes,-58.4157873,-34.5873124,2024-11-11 00:32:39,99,099 - Malabia,780 Malabia & Loyola,-58.43540800000001,-34.5960961,693337.0,FIT,FEMALE,23,11,0,11
2347953,23816758,460,2024-11-11 00:25:11,91,091 - Pasco,708 Pasco & Chile,-58.397602,-34.6174482,2024-11-11 00:32:51,558,236 - UBA SOCIALES,Santiago del Estero 1029 ,-58.384386,-34.620233,944469.0,FIT,MALE,25,11,0,11
2057093,23816759,851,2024-11-11 00:26:00,122,122 - COSTA RICA,COSTA RICA 4060,-58.41981629999999,-34.5915614,2024-11-11 00:40:11,13,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,1229803.0,FIT,MALE,26,11,0,11
2854717,23816760,759,2024-11-11 00:27:17,122,122 - COSTA RICA,COSTA RICA 4060,-58.41981629999999,-34.5915614,2024-11-11 00:39:56,163,163 - ONCE II,Bartolome Mitre & Av. Puyrredon,-58.4064308,-34.6095663,1243336.0,FIT,MALE,27,11,0,11
2211528,23816761,1347,2024-11-11 00:31:35,557,241 - BIBLIOTECA NACIONAL,Austria 2690,-58.397735,-34.583409,2024-11-11 00:54:02,93,093 - CARLOS CALVO,Sarandi 1010,-58.3944635,-34.620798,879311.0,FIT,FEMALE,31,11,0,11
2221140,23816762,209,2024-11-11 00:33:11,273,223 - GAINZA,"494 Gainza, Martin De, Gral.",-58.446751,-34.616758,2024-11-11 00:36:40,491,266 - PLAZA SABATTINI,Honorio Pueyrredón 695 ,-58.44215423439331,-34.61200399005994,270909.0,FIT,FEMALE,33,11,0,11
2393378,23816763,1148,2024-11-11 00:34:32,515,294 - PLAZOLETA RÍO DE LA PLATA,Av. Sarmiento 500,-58.41465533223048,-34.57424606980564,2024-11-11 00:53:40,116,116 - HOSPITAL ALEMÁN, Juncal 2407,-58.40128182310524,-34.59147195496799,750599.0,FIT,MALE,34,11,0,11
2396956,23816764,771,2024-11-11 00:38:30,132,132 - CORRIENTES,Reconquista & Corrientes Av.,-58.372763,-34.6033685,2024-11-11 00:51:21,172,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,145089.0,FIT,FEMALE,38,11,0,11
2854724,23816765,525,2024-11-11 00:40:49,227,188 - Aranguren,Dr. Juan Felipe Aranguren 131,-58.43276297,-34.61036075,2024-11-11 00:49:34,167,275 - PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,-58.44854,-34.606984,1161384.0,ICONIC,MALE,40,11,0,11
2396911,23816766,2716,2024-11-11 00:42:08,461,106 - MOSCONI Y CONSTITUYENTES,CONSTITUYENTES 4710,-58.49363000000001,-34.58088,2024-11-11 01:27:24,186,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,116059.0,FIT,FEMALE,42,11,0,11
2057086,23816767,369,2024-11-11 00:42:43,183,183 - VIRREY CEVALLOS,Mexico 1652,-58.3899728,-34.6156994,2024-11-11 00:48:52,291,244 - UADE,Lima 750,-58.381627,-34.617247,1178665.0,ICONIC,MALE,42,11,0,11
2789786,23816768,152,2024-11-11 00:43:52,79,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",-58.36393000000001,-34.61189,2024-11-11 00:46:24,3,003 - ADUANA,Av. Paseo Colón 380,-58.369129063789,-34.61220714255728,1133471.0,ICONIC,MALE,43,11,0,11
2767957,23816769,420,2024-11-11 00:44:24,324,280 - JURAMENTO,5209 Juramento,-58.4840556,-34.578933,2024-11-11 00:51:24,497,307 - CERRETTI,Ceretti 2892,-58.4962318,-34.5744245,808474.0,ICONIC,MALE,44,11,0,11
2347943,23816770,1497,2024-11-11 00:44:41,524,338 - AV. CABILDO,Av. Cabildo 2586,-58.4607027,-34.557933,2024-11-11 01:09:38,422,379 - PARQUE SARMIENTO II,Alfonsina Storni 3771,-58.50289,-34.56454,1075671.0,FIT,FEMALE,44,11,0,11
2057006,23816772,1137,2024-11-11 00:46:28,491,266 - PLAZA SABATTINI,Honorio Pueyrredón 695 ,-58.44215423439331,-34.61200399005994,2024-11-11 01:05:25,219,140 - Las Casas,Metan 3661,-58.4156332,-34.6360274,347798.0,FIT,MALE,46,11,0,11
2211279,23816773,2,2024-11-11 00:46:52,150,150 - RODRIGO BUENO,Av. España 2200,-58.3554654,-34.6187547,2024-11-11 00:46:54,76,076 - Ayacucho,"Ayacucho &Peron, Juan Domingo, Tte. General",-58.39505479999999,-34.6074084,1084998.0,FIT,FEMALE,46,11,0,11
